Date,Close,High,Low,Open,Volume,MA20,MA50,Signal,Regime,Crossover
2025-11-03,268.53814697265625,270.33474092754267,265.74348587775046,269.90556627002525,50194600,258.63453674316406,,0,Bearish,0.0
2025-11-04,269.5262756347656,270.9734988318123,267.11086611942017,267.8195068636227,49274800,259.3112457275391,,0,Bearish,0.0
2025-11-05,269.6260986328125,271.18312844251227,266.4221834255846,268.0989800730272,43683100,259.9140960693359,,0,Bearish,0.0
2025-11-06,269.25677490234375,272.8798740142925,267.38037702601645,267.38037702601645,51204000,260.6990997314453,,0,Bearish,0.0
2025-11-07,267.9592590332031,271.7719991063764,266.26248096015127,269.28671541495146,48227400,261.85689239501954,,0,Bearish,0.0
2025-11-10,269.1781311035156,273.4741297822401,267.20997142836535,268.7085692371889,41312400,262.956356048584,,0,Bearish,0.0
2025-11-11,274.99267578125,275.65206242273547,269.5477586519058,269.55775905965567,46208300,264.34105758666993,,0,Bearish,0.0
2025-11-12,273.21435546875,275.4722525277038,271.4460210796085,274.74292397164845,48398000,265.55849227905276,,0,Bearish,0.0
2025-11-13,272.6948547363281,276.4413491841305,271.83564282199285,273.85374352181776,49602800,266.8442718505859,,0,Bearish,0.0
2025-11-14,272.15533447265625,275.70200347225597,269.3479639093673,270.7965900477885,47431300,267.86153717041014,,0,Bearish,0.0
2025-11-17,267.2099609375,270.2371271729127,265.48159771217263,268.5687054184609,45018300,268.1349792480469,,0,Bearish,0.0
2025-11-18,267.19000244140625,270.4569347049811,265.0719890725528,269.7376065335732,45677300,268.3809753417969,,0,Bearish,0.0
2025-11-19,268.3089294433594,271.9555110777923,265.2517925781922,265.2817633125939,40424500,268.89850463867185,,0,Bearish,0.0
2025-11-20,266.0010986328125,275.17250947675234,265.67142054546326,270.5768036466949,45823600,269.24425201416017,,0,Bearish,0.0
2025-11-21,271.2361755371094,273.0744516711978,265.4216397990326,265.70137680880595,59030800,269.69005889892577,,0,Bearish,0.0
2025-11-24,275.6620788574219,276.7410558404627,270.64675212306133,270.64675212306133,65585800,270.05823211669923,,0,Bearish,0.0
2025-11-25,276.7110900878906,280.1179060838009,274.9926967216935,275.012667049666,46914200,270.46937408447263,,0,Bearish,0.0
2025-11-26,277.29052734375,279.26868736786383,276.3714044558947,276.70108254872224,33431400,270.8745544433594,,0,Bearish,0.0
2025-11-28,278.5893249511719,278.73917862681736,275.73198274965245,277.0008150112318,20135600,271.2598373413086,,0,Bearish,0.0
2025-12-01,282.8353576660156,283.1550658399818,275.88187257202503,277.75011957449965,46587700,271.90882263183596,262.96960815429685,1,Bullish,1.0
2025-12-02,285.9224548339844,287.1313151163589,282.36578537497866,282.7354345985028,53669500,272.77803802490234,263.5762008666992,1,Bullish,0.0
2025-12-03,283.8843688964844,288.35019153510143,283.0351573834178,285.9324708384744,43538700,273.4959426879883,264.17496887207034,1,Bullish,0.0
2025-12-04,280.4375915527344,284.46382276925783,278.32954829392816,283.83440686502166,43989100,274.03651733398436,264.7471206665039,1,Bullish,0.0
2025-12-05,278.5193786621094,280.8771882481053,277.79005013345267,280.27774306596746,47265800,274.49964752197263,265.1898818969727,1,Bullish,0.0
2025-12-08,277.6302185058594,279.4085531850005,275.8918244790692,277.86998437615557,38211800,274.98319549560546,265.6430059814453,1,Bullish,0.0
2025-12-09,276.9208679199219,279.7682096639769,276.6611317163261,277.8999627322321,32193300,275.3703323364258,266.10250396728514,1,Bullish,0.0
2025-12-10,278.5193786621094,279.48847306800184,276.1815698919154,277.490342786908,33038300,275.5466674804687,266.58997955322263,1,Bullish,0.0
2025-12-11,277.77008056640625,279.3286197507982,273.5540244422053,278.83908758708685,33248000,275.7744537353516,267.04610046386716,1,Bullish,0.0
2025-12-12,278.0198669433594,278.9589906850317,276.5612402656973,277.64021728323,39532900,276.04070434570315,267.47368103027344,1,Bullish,0.0
2025-12-15,273.8537292480469,279.8880911943856,272.5849275039148,279.8880911943856,50409100,276.12562408447263,267.8001727294922,1,Bullish,0.0
2025-12-16,274.353271484375,275.2424541197232,271.53593087885605,272.5649667835892,37648600,276.48278961181643,268.1632049560547,1,Bullish,0.0
2025-12-17,271.58587646484375,275.90184538512057,271.38608172110213,274.75292651919426,50138700,276.7025833129883,268.47508056640623,1,Bullish,0.0
2025-12-18,271.935546875,273.374203136776,266.7004552212896,273.35420232069225,51630700,276.8839141845703,268.76240966796877,1,Bullish,0.0
2025-12-19,273.4141845703125,274.34330788170604,269.64768928264715,271.8955859651445,144632000,277.2545684814453,269.15955932617186,1,Bullish,0.0
2025-12-22,270.7166748046875,273.62395794129594,270.25711338978425,272.6048920133635,36571800,277.22859344482424,269.6778247070313,1,Bullish,0.0
2025-12-23,272.1053771972656,272.2452609569047,269.30800689497966,270.5868091030317,29642000,277.0507583618164,270.17615509033203,1,Bullish,0.0
2025-12-24,273.55401611328125,275.17249671786806,271.9455359163183,272.085389177814,17910600,276.8929046630859,270.70126251220705,1,Bullish,0.0
2025-12-26,273.1444091796875,275.1125687682936,272.6049054553,273.9037084592662,21521800,276.6855987548828,271.1868374633789,1,Bullish,0.0
2025-12-29,273.50408935546875,274.10350406329195,272.0954038139857,272.4350823114352,23715200,276.4313369750977,271.717333984375,1,Bullish,0.0
2025-12-30,272.82470703125,273.82377221524894,272.02546707967076,272.5549704076282,22139600,275.93080444335936,272.13762756347654,1,Bullish,0.0
2025-12-31,271.6058349609375,273.42414083736213,271.49595243002375,272.80472532736104,27293600,275.21497344970703,272.334921875,1,Bullish,0.0
2026-01-02,270.75665283203125,277.58025431004916,268.7485221479618,272.0054842546519,37838100,274.5585876464844,272.5046533203125,1,Bullish,0.0
2026-01-05,267.0101623535156,271.25618925068443,265.89121426121545,270.38700744645297,45647200,273.88721618652346,272.6856896972656,1,Bullish,0.0
2026-01-06,262.1147155761719,267.2998660934885,261.8749496989937,266.7503924619391,52352100,273.0669830322266,272.74626098632814,1,Bullish,0.0
2026-01-07,260.08660888671875,263.4334831315393,259.56710600115036,262.95395138764474,48309800,272.1898025512695,272.70159240722654,-1,Bearish,-2.0
2026-01-08,258.7978515625,259.0476178563403,255.46096229095477,256.7797203952787,50419300,271.2836517333984,272.5115771484375,-1,Bearish,0.0
2026-01-09,259.1275329589844,259.9667440583015,255.98048371428257,258.8377955175017,39997000,270.3140594482422,272.32436279296877,-1,Bearish,0.0
